Time_s,Temperature1_C,Temperature2_C
855.9733204,186.2,77.9
856.5695614,186.2,77.9
857.1661128,185.8,77.7
857.7637413,185.8,77.7
858.3936181,185.5,77.7
858.9875357,185.5,77.7
859.585158,185.5,77.7
860.1830662,185.1,77.6
860.7812373,185.1,77.7
861.3778544,185.1,77.6
861.9760045,185.1,77.6
862.5729368,184.7,77.6
863.171082,184.7,77.6
863.7668038,184.7,77.6
864.364253,184.7,77.6
864.9629216,184.7,77.6
865.5906236,184.4,77.6
866.1868675,184.4,77.6
866.7843748,184.4,77.6
867.3812589,184,77.6
867.9736025,184,77.6
868.5708772,184,77.4
869.165576,184,77.6
869.7595831,184,77.6
870.372283,183.7,77.6
871.00096,183.7,77.6
871.5966775,183.7,77.6
872.1965743,183.3,77.6
872.7922442,183.3,77.6
873.3916366,183,77.4
873.9888281,183,77.6
874.586498,183,77.4
875.1812536,182.6,77.4
875.7808293,182.6,77.4
876.3923518,182.3,77.4
876.9896865,182.3,77.3
877.5868193,181.9,77.3
878.1858152,181.9,77.3
878.7806353,181.6,77.1
879.3956246,181.6,77.1
879.9954508,181.2,76.9
880.5911757,181.2,76.8
881.1909847,180.9,76.8
881.7881071,180.5,76.8
882.3870783,180.5,76.6
882.9849822,180.2,76.6
883.5796856,180.2,76.5
884.1791621,180.2,76.5
884.7755374,179.9,76.5
885.3891354,179.9,76.3
886.0169958,179.5,76.5
886.6310417,179.5,76.3
887.240042,179.2,76.5
887.8503534,178.9,76.5
888.4482645,178.5,76.5
889.0756105,178.5,76.5
889.6717126,178.2,76.5
890.2511632,177.9,76.6
890.8779213,177.6,76.6
891.5053685,177.6,76.6
892.1004752,177.6,76.8
892.6825114,177.3,76.8
893.3090354,177.3,76.9
893.9369898,176.9,76.9
894.5321,176.9,76.9
895.158394,176.6,77.1
895.7551836,176.3,77.3
896.3505052,176.3,77.3
896.9459282,176,77.3
897.526949,176,77.6
898.1239687,175.7,77.6
898.7507246,175.7,77.9
899.3801875,175.4,78.1
899.9784874,175.4,78.2
900.5907319,175.1,78.4
901.1866751,175.1,78.5
901.8125215,175.1,78.7
902.4260373,175.1,78.9
903.0217483,175.1,79
903.6350114,175.1,79.3
904.2643642,175.1,79.5
904.8937387,175.1,79.6
905.5066726,175.4,80
906.0997866,175.4,80
906.7092334,175.4,80.3
907.3234554,175.4,80.4
907.9208965,175.4,80.6
908.5355988,175.7,80.9
909.179005,175.7,81
909.7900428,176,81.2
910.4019055,176,81.4
910.9969642,176,81.7
911.5935416,176.3,81.8
912.1878517,176.3,82
912.783328,176.6,82.1
913.3965403,176.9,82.3
913.9925208,176.9,82.6
914.6042434,177.3,82.7
915.2010221,177.3,82.9
915.8103619,177.6,83
916.404182,177.9,83.2
916.9957775,177.9,83.2
917.5923338,178.2,83
918.2033656,178.5,82.7
918.8313544,178.5,82.6
919.4268891,178.9,82.3
920.0219901,178.9,81.8
920.6186521,179.2,81.5
921.2465825,179.5,81.2
921.8728679,179.5,80.9
922.4852868,179.9,80.6
923.0962381,180.2,80.4
923.7046093,180.2,80.3
924.3006302,180.5,80.1
924.9137404,180.9,80.1
925.5108308,180.9,80.1
926.1069496,181.2,80.1
926.7034622,181.2,80.3
927.2984283,181.2,80.3
927.8938436,181.6,80.4
928.5083968,181.6,80.6
929.1187904,181.9,80.7
929.7467165,181.9,80.9
930.3750111,182.3,81
930.9550461,182.3,81.2
931.5635422,182.6,81.4
932.1585429,182.6,81.7
932.7548366,183,81.8
933.3512185,182.6,82
933.9472233,183,82.3
934.5611788,183,82.6
935.1907905,183.3,82.7
935.8027174,183.3,83
936.4007026,183.3,83.2
937.0101124,183.3,83.4
937.5772658,183.3,83.2
938.1741378,183.3,83.2
938.7861619,183.3,83
939.3991919,183.3,82.7
940.0113257,183.3,82.4
940.6088402,183.3,82
941.2044854,183.3,81.7
941.806022,183.3,81.5
942.401595,183,81.2
942.998133,183,80.9
943.5933002,183,80.9
944.1917066,183,80.7
