Time_s,Temperature1_C,Temperature2_C
328.7007331,176.6,95.3
329.2857178,176.6,95.3
329.8595011,176.9,95.6
330.4665187,176.9,95.6
331.087469,177.3,95.9
331.6604328,177.6,96
332.2535216,177.6,96.3
332.8338684,177.6,96.2
333.4128936,177.9,96.4
333.9815533,177.9,96.6
334.5879857,177.9,96.7
335.1554992,178.2,96.9
335.7422846,178.2,97
336.3367812,178.2,97
336.909197,178.5,97.2
337.4852096,178.5,97.3
338.0479094,178.2,97.3
338.6371414,178.9,97.6
339.2364271,178.9,97.7
339.8144732,178.9,97.9
340.4139574,178.9,98
341.0106064,179.5,98.2
341.6082252,179.5,98.3
342.2070756,179.9,98.4
342.8328498,180.2,98.4
343.4294108,180.2,98.4
344.056392,180.5,98.6
344.6509832,180.9,98.6
345.2486148,181.2,98.7
345.8467616,181.2,98.7
346.4415537,181.9,98.7
347.0388853,181.9,98.7
347.6320146,182.6,98.7
348.2276063,183,98.7
348.8232148,183.3,98.7
349.420355,183.7,98.6
350.0172065,184,98.6
350.6156361,184.4,98.6
351.2109227,184.7,98.6
351.8253977,185.1,98.6
352.4229407,185.5,98.4
353.0210968,185.8,98.4
353.6191684,186.6,98.4
354.2160237,187,98.3
354.8140479,187.3,98.3
355.4137313,187.7,98.3
356.0113894,188.1,98.2
356.6094524,188.5,98.2
357.205752,188.9,98.2
357.8051245,189.3,97.9
358.4015957,189.7,97.9
358.9988201,190.1,97.9
359.5956036,190.9,97.7
360.1924978,191.3,97.7
360.7918776,191.3,97.6
361.3889276,191.7,97.6
361.9830139,192.5,97.6
362.5819049,192.5,97.4
363.1792319,192.9,97.4
363.778715,192.9,97.3
364.3770298,193.3,97.3
364.9727839,193.7,97.3
365.5719286,193.7,97.2
366.1694253,193.7,97.2
366.7681888,193.7,97
367.36291,194.2,97
367.961178,194.2,97
368.5573853,194.2,96.9
369.1525123,194.2,96.9
369.7519629,194.2,96.7
370.3497134,194.2,96.7
370.9650102,194.2,96.7
371.5589964,193.7,96.6
372.1553413,193.7,96.6
372.7515083,193.7,96.6
373.3486158,193.7,96.4
373.9442558,193.7,96.4
374.5422527,193.7,96.3
375.1417042,193.3,96.3
375.7379992,193.3,96.3
376.3346192,192.9,96.2
376.9318143,192.9,96
377.5290074,192.9,95.9
378.1245415,192.9,95.9
378.7209767,192.5,95.7
379.3181563,192.1,95.6
379.9115639,192.1,95.3
380.5069958,192.1,95.1
381.1026804,191.7,95
381.6974624,191.7,94.7
382.293101,191.7,94.7
382.8876629,191.3,94.4
383.4833826,191.3,94.3
384.0806989,191.3,94.1
384.6783563,190.9,94
385.2736681,190.9,93.7
385.8697758,190.9,93.6
386.4646763,190.5,93.4
387.0572011,190.5,93.3
387.6540417,190.5,93.3
388.2517231,190.1,93
388.849079,190.1,92.8
389.4457849,189.7,92.7
390.0387096,189.7,92.7
390.6367682,189.7,92.5
391.232571,189.7,92.5
391.8411657,189.3,92.4
392.4603025,189.3,92.3
393.039294,188.9,92.3
393.6061242,188.5,92.1
394.1776165,188.1,92
394.7910745,187.7,92
395.3945946,187.3,92
395.9607742,187,91.8
396.5362007,186.6,91.8
397.1208039,186.6,91.7
397.7202668,185.8,91.7
398.2853132,185.8,91.5
398.8898578,185.5,91.5
399.4931328,185.5,91.5
400.0748684,184.7,91.5
400.6458497,184.4,91.5
401.2748282,184,91.4
401.8362124,183.7,91.4
402.4433191,183.3,91.5
403.018791,183.3,91.5
403.5885152,183,91.5
404.1859971,182.6,91.5
404.7892667,182.6,91.5
405.4031007,182.3,91.5
405.9957612,181.9,91.5
406.5784566,181.6,91.7
407.1661766,181.2,91.7
407.7509664,181.2,91.7
408.342692,180.9,91.8
408.9354573,180.9,91.8
409.5256336,180.5,92
410.1197191,180.2,92
410.6890072,179.9,92
411.2963252,179.5,92.1
411.8767324,179.5,92.1
412.4477351,179.2,92.1
413.0313787,178.9,92.3
413.6270078,178.5,92.3
414.2253006,178.2,92.3
414.8132503,177.9,92.4
415.3980641,177.6,92.4
415.9978655,177.6,92.5
416.5677932,177.3,92.4
417.1317888,176.9,92.7
417.7371617,176.6,92.7
418.3224448,176.6,92.8
418.9162508,176.3,92.8
419.5213778,176,93
420.1357032,176,93.1
420.7085404,175.7,93.1
421.3074371,175.7,93.3
421.9019893,175.7,93.4
422.4968389,175.7,93.6
423.0795069,175.4,93.6
423.6485681,175.4,93.7
424.2516003,175.4,93.8
424.8212821,175.1,93.8
425.4205425,175.1,94
426.0136324,174.7,94.1
426.5763383,174.4,94.1
427.1450672,174.1,94.4
427.756181,174.4,94.4
428.3555304,174.4,94.6
428.9503783,173.8,94.6
429.5687488,174.1,94.7
430.1816457,173.8,95
430.7860864,173.8,95.1
431.3462656,173.5,95.1
431.9711927,173.5,95.4
432.5638204,173.5,95.4
433.1619468,173.5,95.6
433.7312729,173.5,95.6
434.3156495,173.5,95.9
434.9263728,173.5,96
435.525325,173.5,96
436.1182871,173.5,96.2
436.6928199,173.5,96.4
437.2903451,173.5,96.4
437.8711821,173.8,96.6
438.4384105,173.8,96.7
438.9982899,173.8,96.9
439.5655302,173.8,97
440.1227028,174.1,97.2
440.7309132,174.1,97.3
441.2914293,174.1,97.4
441.9004633,174.4,97.6
442.4796238,174.4,97.7
443.0887159,174.4,98
443.6850971,174.7,98.2
444.2680803,174.4,98.3
444.8354019,175.1,98.4
445.4410453,175.1,98.6
446.0245536,175.4,98.7
446.6072529,175.4,98.9
447.1989149,175.7,99
447.8194559,175.7,99.3
448.3942085,175.7,99.6
449.0013604,176.3,99.6
449.5640475,176.3,99.9
450.151368,176.6,100
450.7112234,176.6,100.2
451.3157322,176.9,100.3
451.8862973,176.9,100.5
452.4692357,177.3,100.6
453.0741588,177.3,100.9
453.6685888,177.9,101
454.2610966,178.2,101.2
454.8578806,178.2,101.3
455.4553385,178.9,101.5
456.0537462,179.2,101.5
456.6492041,179.5,101.6
457.2480685,179.9,101.7
457.8424321,180.2,101.7
458.4554755,180.5,101.7
459.0328316,180.9,101.9
459.6301589,181.2,101.9
460.2464085,181.6,101.9
460.840062,181.9,101.9
461.4570191,182.3,101.7
462.0551357,182.6,101.7
462.663918,183,101.7
463.2900282,183.3,101.7
463.8618372,184,101.6
464.4522413,184.4,101.6
465.0219524,184.7,101.5
465.6262146,185.1,101.5
466.2181671,185.5,101.5
466.7990035,185.8,101.3
467.3647459,186.2,101.3
467.9832023,186.6,101.2
468.5602672,187.3,101.2
469.1573286,187.7,101
469.7728517,188.1,100.9
470.3862342,188.5,100.9
471.0002577,188.9,100.7
471.5965784,189.3,100.6
472.1941731,189.7,100.6
472.7907887,190.1,100.5
473.3899012,190.5,100.5
473.9851,190.9,100.3
474.5842464,191.3,100.3
475.1830411,191.3,100.2
475.7794566,191.7,100
476.3803738,192.1,100
476.9758502,192.5,100
477.5763801,192.9,99.9
478.1740499,192.9,99.9
478.7670654,193.3,99.7
479.3669292,193.3,99.7
479.9635181,193.3,99.6
480.5602552,193.7,99.6
481.1568784,193.7,99.5
481.7533831,193.7,99.5
482.3529834,193.7,99.3
482.9513614,193.7,99.3
483.5485254,193.7,99.3
484.1757006,193.7,99.2
484.7709972,193.7,99.2
485.3682198,193.7,99
485.9637337,193.7,99
486.5594823,193.7,98.9
487.1564776,193.3,98.7
487.7512736,193.3,98.6
488.3506208,193.3,98.4
488.9494053,193.3,98.3
489.5436232,192.9,98
490.1322198,192.9,97.9
490.7173337,192.9,97.7
491.3231915,192.9,97.6
491.9503153,192.5,97.4
492.5465089,192.5,97.2
493.1912163,192.5,97.2
493.8169213,192.1,96.9
494.3817099,191.3,96.7
495.009192,191.3,96.7
495.6075805,190.9,96.6
496.2379407,190.9,96.6
496.8502441,190.1,96.3
497.4467962,189.7,96.2
498.0433651,189.7,96.2
498.6389681,188.9,96
499.2337049,188.9,96
